Team,League,Country,Gender,Tier,Season,URL,Pld,Pts,Max_Pts,GD,xGD,PPG,Team+Nat,EffAge
Rapid București,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/099e0a8b/Rapid-Bucuresti-Stats,19,31,57,7,,1.631578947368421,Rapid București (ROU),28.35031506995621
Sepsi,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/4aee1804/Sepsi-Sfantu-Gheorghe-Stats,19,24,57,3,,1.263157894736842,Sepsi (ROU),27.829718234981392
UTA Arad,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/a862ea1d/UTA-Arad-Stats,19,26,57,3,,1.368421052631579,UTA Arad (ROU),27.8167788102104
Voluntari,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/34078b64/Voluntari-Stats,19,33,57,4,,1.736842105263158,Voluntari (ROU),28.432645243668865
AmaZulu,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/f1e61de0/AmaZulu-Stats,16,20,48,1,,1.25,AmaZulu (RSA),28.76212812439761
Baroka FC,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/3772159d/Baroka-FC-Stats,14,10,42,-6,,0.7142857142857143,Baroka FC (RSA),26.65059166801751
Cape Town City,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/98cc9e1b/Cape-Town-City-Stats,13,18,39,-2,,1.3846153846153846,Cape Town City (RSA),28.715846994535518
Chippa Utd,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/09ec62b7/Chippa-United-Stats,14,11,42,-10,,0.7857142857142857,Chippa Utd (RSA),27.1233884478112
Golden Arrows,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/bf882670/Lamontville-Golden-Arrows-Stats,14,19,42,1,,1.3571428571428572,Golden Arrows (RSA),25.933800173260178
Kaizer Chiefs,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/2898ec06/Kaizer-Chiefs-Stats,14,25,42,6,,1.7857142857142858,Kaizer Chiefs (RSA),29.412654745529572
Maritzburg Utd,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/701c353a/Maritzburg-United-Stats,16,15,48,-5,,0.9375,Maritzburg Utd (RSA),27.875828658847528
Moroka Swallows,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/dd0a9674/Moroka-Swallows-Stats,15,12,45,-10,,0.8,Moroka Swallows (RSA),28.612089978410754
Orlando Pirates,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/b8a68959/Orlando-Pirates-Stats,15,23,45,6,,1.5333333333333334,Orlando Pirates (RSA),28.235608108108107
Royal Eagles FC,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/95123116/Royal-Eagles-FC-Stats,15,23,45,5,,1.5333333333333334,Royal Eagles FC (RSA),29.833141697666555
Sekhukhune United FC,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/069cbac8/Sekhukhune-United-FC-Stats,15,23,45,1,,1.5333333333333334,Sekhukhune United FC (RSA),28.883892845032214
Stellenbosch FC,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/814a41b5/Stellenbosch-FC-Stats,16,23,48,2,,1.4375,Stellenbosch FC (RSA),26.90013878791884
Sundowns,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/97d80fef/Mamelodi-Sundowns-Stats,15,37,45,21,,2.466666666666667,Sundowns (RSA),28.892623779050187
SuperSport,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/c96d819b/SuperSport-United-Stats,15,22,45,5,,1.4666666666666666,SuperSport (RSA),26.58371777476255
TS Galaxy,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/417af3f7/TS-Galaxy-Stats,15,12,45,-10,,0.8,TS Galaxy (RSA),27.65838890166322
TTM FC,South African Premier Division,RSA,M,1,2021,https://fbref.com//en/squads/9755e634/TTM-FC-Stats,14,17,42,-5,,1.2142857142857142,TTM FC (RSA),30.013762502820185
Akhmat Grozny,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/8aa1135c/Akhmat-Grozny-Stats,18,27,54,0,,1.5,Akhmat Grozny (RUS),26.931260599208592
Arsenal Tula,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/0bca3a9e/Arsenal-Tula-Stats,18,19,54,-14,,1.0555555555555556,Arsenal Tula (RUS),27.563230008984725
CSKA Moscow,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/f0c0c2c2/CSKA-Moscow-Stats,18,30,54,5,,1.6666666666666667,CSKA Moscow (RUS),25.951417460406923
Dynamo Mosc,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/541a280b/Dynamo-Moscow-Stats,18,36,54,13,,2.0,Dynamo Mosc (RUS),25.19416386083053
FC Khimki,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/224b0274/FC-Khimki-Stats,18,14,54,-15,,0.7777777777777778,FC Khimki (RUS),26.14660978895375
Krasnodar,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/fa11a9cc/Krasnodar-Stats,18,29,54,11,,1.6111111111111112,Krasnodar (RUS),26.707977610674508
Loko Moscow,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/5a8dc328/Lokomotiv-Moscow-Stats,18,28,54,5,,1.5555555555555556,Loko Moscow (RUS),25.41632166959678
Nizhny Novgorod,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/c28444cc/Nizhny-Novgorod-Stats,18,19,54,-12,,1.0555555555555556,Nizhny Novgorod (RUS),26.82970341606168
Rostov,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/d60423ef/Rostov-Stats,18,18,54,-5,,1.0,Rostov (RUS),26.014927048260382
Rubin Kazan,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/5625a7da/Rubin-Kazan-Stats,18,22,54,-4,,1.2222222222222223,Rubin Kazan (RUS),25.482068577852726
Samara,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/483ffd93/Samara-Stats,18,27,54,4,,1.5,Samara (RUS),24.4594624985944
Sochi,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/011c18c5/Sochi-Stats,17,28,51,6,,1.6470588235294117,Sochi (RUS),29.026160538704488
Spartak Moscow,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/8c635914/Spartak-Moscow-Stats,17,23,51,-3,,1.3529411764705883,Spartak Moscow (RUS),25.1900826446281
Ufa,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/ec7fdeb7/Ufa-Stats,18,16,54,-9,,0.8888888888888888,Ufa (RUS),27.280254777070063
Ural,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/1920cf18/Ural-Yekaterinburg-Stats,18,19,54,-6,,1.0555555555555556,Ural (RUS),26.45583018974157
Zenit,Russian Premier League,RUS,M,1,2021,https://fbref.com//en/squads/98ce363d/Zenit-Stats,18,38,54,24,,2.111111111111111,Zenit (RUS),28.027303561334087
Aberdeen,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/8bbab7cf/Aberdeen-Stats,18,24,54,1,,1.3333333333333333,Aberdeen (SCO),28.084783631232362
Celtic,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/b81aa4fa/Celtic-Stats,17,38,51,27,,2.235294117647059,Celtic (SCO),25.33511586452763
Dundee,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/00032902/Dundee-Stats,17,16,51,-16,,0.9411764705882353,Dundee (SCO),27.888254194930383
Dundee United,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/e986ece7/Dundee-United-Stats,18,25,54,-4,,1.3888888888888888,Dundee United (SCO),26.676709088861358
Hearts,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/7c77b0bc/Heart-of-Midlothian-Stats,18,30,54,9,,1.6666666666666667,Hearts (SCO),27.30466816647919
Hibernian,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/f3aacc58/Hibernian-Stats,17,20,51,-2,,1.1764705882352942,Hibernian (SCO),26.331542502387773
Livingston,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/16ebf136/Livingston-Stats,18,19,54,-9,,1.0555555555555556,Livingston (SCO),25.788423603674687
Motherwell,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/9d04848a/Motherwell-Stats,18,25,54,-5,,1.3888888888888888,Motherwell (SCO),26.28956399437412
Rangers,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/86b7acd2/Rangers-Stats,17,42,51,24,,2.4705882352941178,Rangers (SCO),27.974509803921567
Ross County,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/a5298e9f/Ross-County-Stats,16,14,48,-7,,0.875,Ross County (SCO),24.98407482305359
St Johnstone,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/dd289621/St-Johnstone-Stats,16,14,48,-7,,0.875,St Johnstone (SCO),26.99258226082546
St Mirren,Scottish Premiership,SCO,M,1,2021,https://fbref.com//en/squads/3568ad4c/St-Mirren-Stats,18,18,54,-11,,1.0,St Mirren (SCO),26.989346711008398
Arbroath FC,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/09921eac/Arbroath-FC-Stats,17,31,51,15,,1.8235294117647058,Arbroath FC (SCO),28.16521790902596
Ayr United,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/282655b3/Ayr-United-Stats,17,15,51,-13,,0.8823529411764706,Ayr United (SCO),24.300244149347943
Dunfermline,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/4577342f/Dunfermline-Athletic-Stats,17,14,51,-10,,0.8235294117647058,Dunfermline (SCO),25.444702380952382
Gr'nock Morton,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/0e268336/Greenock-Morton-Stats,17,13,51,-13,,0.7647058823529411,Gr'nock Morton (SCO),25.54050262291082
Hamilton,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/7a899329/Hamilton-Academical-Stats,17,17,51,-15,,1.0,Hamilton (SCO),24.37339081492126
Inverness CT,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/4463fecb/Inverness-CT-Stats,17,34,51,13,,2.0,Inverness CT (SCO),27.708674985145574
Kilmarnock,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/25f1fd26/Kilmarnock-Stats,17,29,51,9,,1.7058823529411764,Kilmarnock (SCO),26.950089126559714
Partick Thistle,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/e4563d62/Partick-Thistle-Stats,17,28,51,13,,1.6470588235294117,Partick Thistle (SCO),26.345632798573973
Queens,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/9d33239e/Queen-of-the-South-Stats,17,14,51,-10,,0.8235294117647058,Queens (SCO),23.522341057635174
Raith Rovers,Scottish Championship,SCO,M,2,2021,https://fbref.com//en/squads/a6a39d55/Raith-Rovers-Stats,17,33,51,11,,1.9411764705882353,Raith Rovers (SCO),26.30278030401455
FK Kolubara,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/3a0a4eb0/FK-Kolubara-Stats,20,23,60,-20,,1.15,FK Kolubara (SRB),28.147113993247228
Metalac GM,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/b2a0ca5d/Metalac-GM-Stats,19,16,57,-10,,0.8421052631578947,Metalac GM (SRB),23.272412875764832
Mladost Lučani,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/9db96189/Mladost-Lucani-Stats,19,18,57,-10,,0.9473684210526315,Mladost Lučani (SRB),28.0622009569378
Napredak Kruš,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/386c1777/Napredak-Krusevac-Stats,19,27,57,1,,1.4210526315789473,Napredak Kruš (SRB),25.575017371318616
Novi Pazar,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/0e4527f3/Novi-Pazar-Stats,19,15,57,-16,,0.7894736842105263,Novi Pazar (SRB),25.594372363714026
Partizan,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/dde3e804/Partizan-Stats,19,53,57,47,,2.789473684210526,Partizan (SRB),27.893789283051028
Proleter NS,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/36d353db/Proleter-Novi-Sad-Stats,20,24,60,-15,,1.2,Proleter NS (SRB),25.806161616161617
Radnik Surdulica,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/9269a831/Radnik-Surdulica-Stats,19,20,57,-7,,1.0526315789473684,Radnik Surdulica (SRB),24.210994427775397
Radnički Kragujevac,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/e1b6e743/Radnicki-Kragujevac-Stats,20,16,60,-19,,0.8,Radnički Kragujevac (SRB),25.845232076044088
Radnički Niš,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/72804f2b/Radnicki-Nis-Stats,20,27,60,2,,1.35,Radnički Niš (SRB),27.501826484018263
Red Star,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/099c6eb5/Red-Star-Belgrade-Stats,19,50,57,36,,2.6315789473684212,Red Star (SRB),28.02881446039341
Spartak Subotic,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/6d139ec5/Spartak-Subotica-Stats,19,24,57,-10,,1.263157894736842,Spartak Subotic (SRB),23.63739889314602
TSC Bačka Top,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/69eacba4/TSC-Backa-Top-Stats,20,26,60,4,,1.3,TSC Bačka Top (SRB),26.987272727272728
Vojvodina,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/278db974/Vojvodina-Stats,19,29,57,2,,1.5263157894736843,Vojvodina (SRB),25.370833111808178
Voždovac,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/5379325a/Vozdovac-Stats,19,25,57,-1,,1.3157894736842106,Voždovac (SRB),26.679713782239546
Čukarički,Serbian SuperLiga,SRB,M,1,2021,https://fbref.com//en/squads/42e847bc/Cukaricki-Stats,20,35,60,16,,1.75,Čukarički (SRB),23.518417462482947
Basel,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/d3d9424a/Basel-Stats,16,31,48,19,,1.9375,Basel (SUI),24.918482035739093
Grasshopper,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/7b66a29c/Grasshopper-Stats,17,22,51,6,,1.2941176470588236,Grasshopper (SUI),24.723340879304182
Lausanne-Sport,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/2864c5a0/Lausanne-Sport-Stats,17,12,51,-17,,0.7058823529411765,Lausanne-Sport (SUI),24.385352990530983
Lugano,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/4dcf77da/Lugano-Stats,17,30,51,6,,1.7647058823529411,Lugano (SUI),27.766904337492573
Luzern,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/d423a378/Luzern-Stats,17,11,51,-14,,0.6470588235294118,Luzern (SUI),26.691831388425815
Servette FC,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/6400d626/Servette-FC-Stats,17,22,51,-3,,1.2941176470588236,Servette FC (SUI),27.649775918733194
Sion,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/2eaa8331/Sion-Stats,17,18,51,-13,,1.0588235294117647,Sion (SUI),25.54833134684148
St. Gallen,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/cdaf4e6d/St-Gallen-Stats,17,16,51,-15,,0.9411764705882353,St. Gallen (SUI),23.75248658749774
Young Boys,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/4b682260/Young-Boys-Stats,16,28,48,16,,1.75,Young Boys (SUI),25.459283802727157
Zürich,Swiss Super League,SUI,M,1,2021,https://fbref.com//en/squads/22a5a99c/Zurich-Stats,17,37,51,15,,2.176470588235294,Zürich (SUI),26.044135141565548
AIK Stockholm,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/b0333581/AIK-Stockholm-Stats,30,59,90,20,,1.9666666666666666,AIK Stockholm (SWE),27.556822013893573
Degerfors,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/3692fadf/Degerfors-Stats,30,34,90,-17,,1.1333333333333333,Degerfors (SWE),25.214389314264512
Djurgården,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/9423c05a/Djurgarden-Stats,30,57,90,16,,1.9,Djurgården (SWE),25.95472653612424
Elfsborg,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/50e85bfc/2021/Elfsborg-Stats,30,55,90,16,,1.8333333333333333,Elfsborg (SWE),24.527282549972988
Göteborg,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/ef1ab26a/Goteborg-Stats,30,41,90,3,,1.3666666666666667,Göteborg (SWE),27.64986531986532
Halmstad,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/17366e53/Halmstad-Stats,30,32,90,-5,,1.0666666666666667,Halmstad (SWE),27.022795380315834
Hammarby,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/92bfd7f0/2021/Hammarby-Stats,30,53,90,13,,1.7666666666666666,Hammarby (SWE),26.657003367003366
Häcken,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/8774e267/2021/Hacken-Stats,30,36,90,0,,1.2,Häcken (SWE),25.55607287449393
Kalmar,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/9f13771c/Kalmar-Stats,30,47,90,2,,1.5666666666666667,Kalmar (SWE),25.707643097643096
Malmö,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/f3d8c8b9/2021/Malmo-Stats,30,59,90,28,,1.9666666666666666,Malmö (SWE),26.75026095154719
Mjällby,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/b1a7a7b9/Mjallby-Stats,30,38,90,7,,1.2666666666666666,Mjällby (SWE),25.288400935244486
Norrköping,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/1d0836d6/Norrkoping-Stats,30,44,90,4,,1.4666666666666666,Norrköping (SWE),25.10077441077441
Sirius,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/e9d60d0c/Sirius-Stats,30,37,90,-14,,1.2333333333333334,Sirius (SWE),24.205218855218856
Varberg,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/74780d66/Varberg-Stats,30,37,90,-3,,1.2333333333333334,Varberg (SWE),25.532467094161323
Örebro,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/6dc9bfb4/Orebro-Stats,30,18,90,-35,,0.6,Örebro (SWE),26.2979995945124
Östersund,Allsvenskan,SWE,M,1,2021,https://fbref.com//en/squads/577e2606/Ostersund-Stats,30,14,90,-35,,0.4666666666666667,Östersund (SWE),24.277957860615885
AFC Eskilstuna,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/c458eb43/AFC-Eskilstuna-Stats,30,40,90,0,,1.3333333333333333,AFC Eskilstuna (SWE),22.86597276198844
Akropolis IF,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/2524d69a/Akropolis-IF-Stats,30,35,90,-16,,1.1666666666666667,Akropolis IF (SWE),26.668092271426165
Brage,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/a5c668fb/Brage-Stats,30,39,90,-2,,1.3,Brage (SWE),25.243897505057316
Falkenberg,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/f6c2b357/Falkenberg-Stats,30,25,90,-21,,0.8333333333333334,Falkenberg (SWE),25.59305972414258
GAIS,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/7c2d1adb/GAIS-Stats,30,34,90,-9,,1.1333333333333333,GAIS (SWE),24.62009853546602
Helsingborg,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/f8a195cc/Helsingborg-Stats,30,48,90,18,,1.6,Helsingborg (SWE),25.62866098210374
Jönköping,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/2dbba1ba/Jonkopings-Sodra-Stats,30,38,90,-3,,1.2666666666666666,Jönköping (SWE),25.79142624397529
Landskrona,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/4c73fbee/Landskrona-Stats,30,44,90,4,,1.4666666666666666,Landskrona (SWE),24.13137321549966
Norrby,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/9b54c4af/Norrby-Stats,30,48,90,8,,1.6,Norrby (SWE),25.31936026936027
Sundsvall,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/bc509855/Sundsvall-Stats,30,53,90,17,,1.7666666666666666,Sundsvall (SWE),25.643709949409782
Trelleborg,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/1a4fb68c/Trelleborg-Stats,30,43,90,3,,1.4333333333333333,Trelleborg (SWE),25.95984503958228
Vasalund,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/61cd6504/Vasalund-Stats,30,26,90,-17,,0.8666666666666667,Vasalund (SWE),26.101013894104394
Värnamo,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/d048ed60/Varnamo-Stats,30,59,90,15,,1.9666666666666666,Värnamo (SWE),24.004657132379904
Västerås,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/a8481ab9/Vasteras-Stats,30,36,90,-4,,1.2,Västerås (SWE),25.03118671526934
Örgryte,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/1334a86c/Orgryte-Stats,30,41,90,0,,1.3666666666666667,Örgryte (SWE),25.59973018549747
Öster,Superettan,SWE,M,2,2021,https://fbref.com//en/squads/dc06109e/Oster-Stats,30,46,90,7,,1.5333333333333334,Öster (SWE),25.094590948944493
Adana Demirspor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/d143cf0a/Adana-Demirspor-Stats,16,23,48,1,,1.4375,Adana Demirspor (TUR),27.56988568180383
Alanyaspor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/076128d7/Alanyaspor-Stats,16,27,48,1,,1.6875,Alanyaspor (TUR),28.98919331256754
Altay,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/6b7a91d9/Altay-Stats,16,18,48,-4,,1.125,Altay (TUR),28.578175380919266
Antalyaspor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/5ac76942/Antalyaspor-Stats,16,21,48,-3,,1.3125,Antalyaspor (TUR),29.098737373737375
Başakşehir,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/bff39cf5/Istanbul-Basaksehir-Stats,16,28,48,8,,1.75,Başakşehir (TUR),28.713762626262625
Beşiktaş,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/0f9294bd/Besiktas-Stats,16,24,48,2,,1.5,Beşiktaş (TUR),27.74434705284553
Fatih Karagümrük,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/bd61c555/Fatih-Karagumruk-Stats,16,22,48,-2,,1.375,Fatih Karagümrük (TUR),29.737435118369415
Fenerbahçe,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/ae1e2d7d/Fenerbahce-Stats,15,27,45,7,,1.8,Fenerbahçe (TUR),26.53913337846987
Galatasaray,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/ecd11ca2/Galatasaray-Stats,15,23,45,2,,1.5333333333333334,Galatasaray (TUR),26.629614631841804
Gaziantep FK,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/7c81865f/Gaziantep-FK-Stats,15,18,45,-5,,1.2,Gaziantep FK (TUR),28.238989462307483
Giresunspor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/08d42724/Giresunspor-Stats,16,19,48,1,,1.1875,Giresunspor (TUR),26.870305870432524
Göztepe,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/7455853d/Goztepe-Stats,16,14,48,-8,,0.875,Göztepe (TUR),26.852572664249823
Hatayspor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/4b5ddee5/Hatayspor-Stats,16,29,48,7,,1.8125,Hatayspor (TUR),27.82326140606214
Kasımpaşa,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/d6ffefd1/Kasimpasa-Stats,16,11,48,-9,,0.6875,Kasımpaşa (TUR),28.12683881558179
Kayserispor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/1f33fbc7/Kayserispor-Stats,16,19,48,-4,,1.1875,Kayserispor (TUR),28.78891217374738
Konyaspor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/5700c020/Konyaspor-Stats,16,30,48,13,,1.875,Konyaspor (TUR),28.322348484848487
Rizespor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/f622e63c/Rizespor-Stats,16,13,48,-17,,0.8125,Rizespor (TUR),28.522682570902862
Sivasspor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/c63f6c0c/Sivasspor-Stats,15,19,45,6,,1.2666666666666666,Sivasspor (TUR),30.58392482931116
Trabzonspor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/c8ad3091/Trabzonspor-Stats,16,39,48,19,,2.4375,Trabzonspor (TUR),27.904447268106736
Yeni Mal'spor,Süper Lig,TUR,M,1,2021,https://fbref.com//en/squads/4cc7a87b/Yeni-Malatyaspor-Stats,16,14,48,-15,,0.875,Yeni Mal'spor (TUR),27.165610745058288
Chornomorets Odesa,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/cdd0bbb6/Chornomorets-Odesa-Stats,18,14,54,-20,,0.7777777777777778,Chornomorets Odesa (UKR),22.013227812323347
Desna Chernihiv,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/bb1044a9/Desna-Chernihiv-Stats,18,25,54,-5,,1.3888888888888888,Desna Chernihiv (UKR),27.582499156450343
Dynamo Kyiv,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/c734e22f/Dynamo-Kyiv-Stats,18,45,54,38,,2.5,Dynamo Kyiv (UKR),25.472895622895624
FC Lviv,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/c380c86e/FC-Lviv-Stats,18,17,54,-16,,0.9444444444444444,FC Lviv (UKR),25.985009263938014
FC Mariupol,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/42b37a13/FC-Mariupol-Stats,18,8,54,-23,,0.4444444444444444,FC Mariupol (UKR),22.18888826089414
FC Oleksandriya,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/797d38d2/FC-Oleksandriya-Stats,18,26,54,3,,1.4444444444444444,FC Oleksandriya (UKR),25.410638058863178
FK Inhulets,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/735899aa/FK-Inhulets-Stats,17,13,51,-15,,0.7647058823529411,FK Inhulets (UKR),27.778195264507662
FK Kolos,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/6b62b007/FK-Kolos-Stats,18,24,54,-9,,1.3333333333333333,FK Kolos (UKR),27.805757013549222
FK Metalist 1925 Kharkiv,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/34c5b654/FK-Metalist-1925-Kharkiv-Stats,18,19,54,-12,,1.0555555555555556,FK Metalist 1925 Kharkiv (UKR),27.131385220567577
FK Mynai,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/66edf0f3/FK-Mynai-Stats,18,10,54,-18,,0.5555555555555556,FK Mynai (UKR),24.67974406465735
SK Dnipro-1,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/27b20cea/SK-Dnipro-1-Stats,18,40,54,18,,2.2222222222222223,SK Dnipro-1 (UKR),24.779639029892838
Shakhtar,Ukrainian Premier League,UKR,M,1,2021,https://fbref.com//en/squads/e89d5a28/Shakhtar-Donetsk-Stats,18,47,54,39,,2.611111111111111,Shakhtar (UKR),24.60480189370456
